ID,Type_of_AC,Model,Cooling_Capacity,Avg_Temp,Room_SIze,Num_People,Star_Rating,Age_of_Unit,Maintenance,Avg_Usage,Avg_AC_Temp,City,Input_Power,Electricity_Consumption_AC
423902,Split,1.5,5608.55,35,2016,8,4,3,1,4.515,23.375,Moscow,3047.749973,1.815
293652,Split,1.2,2038.4,42,1453.2,13,4,2,0,19.236,13.23076923,Tokyo,2979.877633,1.719
709692,Split,3.3,2640.05,32,4877.4,24,4,2,1,4.32,12.33333333,Sao Paolo,2877.355858,2.235
823240,Window,1.8,5204.98,36,2295,4,4,4,0,2.844,28,Delhi,3029.696014,1.692
623917,Ducted,3.4,5389.48,39,4790.6,38,4,6,1,4.212,16.02631579,Delhi,3016.91989,2.633
171288,Split,2.2,5397.28,33,2805,8,4,4,0,10.605,21.125,Tokyo,3017.307736,2.059
221014,Portable,2.3,1888.05,33,3015.3,6,4,0,0,3.564,19.5,Delhi,2775.753053,1.714
208189,Ducted,1.1,4325.67,38,3318.8,10,4,1,0,15.538,15.8,Berlin,2772.293655,1.674
699797,Window,3.5,3418.2,43,4781,23,4,3,0,12.212,13.86956522,Bucharest,2829.409051,2.074
772627,Portable,1.2,5995.36,38,1676.4,10,4,1,0,15.58,20.8,Cape Town,3072.568254,1.868
846610,Ducted,2.9,7386.54,43,4062.9,28,5,5,0,4.214,12.53571429,Berlin,2923.2911,2.843
421836,Ducted,1.3,2966.25,29,1638,4,4,5,0,8.156,26.25,Cape Town,2731.098665,1.606
414029,Window,3.3,7698.04,36,4164.6,29,5,4,1,2.88,12.24137931,Geneva,3248.463461,2.772
816970,Ducted,2.8,7322.88,40,3648.4,29,5,1,1,13.52,18.37931034,Berlin,3108.572384,2.926
875762,Split,1.3,1770.71,41,1701.7,5,4,0,0,11.275,22.2,Cairo,2714.682429,1.651
192981,Window,3.1,1959.76,35,4278,17,4,5,0,18.655,17.05882353,Sao Paolo,2911.611054,1.812
878035,Portable,1.8,6787.36,46,2167.2,13,4,3,0,18.308,14.53846154,Berlin,2879.003343,2.624
584866,Window,2.2,7312.68,40,3159.2,25,5,4,0,10.52,20.6,Tokyo,3119.109567,2.449
703422,Portable,3.8,4660.26,39,5487.2,10,4,0,0,2.73,18.9,Sao Paolo,2952.869466,2.066
590195,Window,3,6320.6,42,3795,30,4,3,0,10.878,16.4,Berlin,3208.110555,2.708
523930,Ducted,3.1,2622.62,40,4327.6,12,5,1,0,18.4,16.33333333,Bucharest,2658.280959,1.812
470558,Window,1.6,5853.36,35,3285.07,10,5,0,0,9.905,20.5,Berlin,3068.703529,1.952
356600,Ducted,3.5,7770.6,42,4532.5,36,4,0,1,17.472,20.16666667,Tokyo,2757.45685,2.446
702681,Portable,2.5,1998.75,39,3285,110,4,1,0,5.226,18.77272727,Delhi,2813.230013,1.686
112263,Window,1,3342.9,37,1344,9,4,5,0,11.939,20.11111111,Berlin,2870.101549,1.982
463262,Ducted,1,6009.3,36,1238,7,4,3,0,19.224,17.14285714,Sao Paolo,2818.239512,1.988
289128,Portable,2.6,7306.74,27,3325.4,29,3,1,1,11.988,17.93103448,Berlin,2895.839955,2.465
108647,Window,1.6,2995.12,34,2312,6,4,2,0,10.256,22.66666667,Berlin,2922.395,1.764
112717,Portable,1.4,5567.76,37,2014.6,16,4,5,0,2.405,18.3125,Delhi,2889.743208,1.975
574955,Window,2.8,3180.8,34,3861.2,15,3,0,0,17.986,17.26666667,Moscow,2958.728424,2.046
312282,Portable,1.2,4144,31,1777.2,10,3,6,0,13.268,19.1,Sao Paolo,2939.580319,2.256
401653,Portable,3,1860.3,48,4278,25,5,0,0,18.784,16.92,Moscow,2832.858335,1.771
607572,Split,1.1,5791.98,34,1644.5,14,4,5,0,10.052,19.42857143,Delhi,3051.720797,1.921
408575,Window,2.4,5821.8,36,3352.8,30,4,1,0,7.956,14.2,Sao Paolo,2928.512,2.103
343823,Split,3.6,5464.48,31,5036.4,20,3,5,0,10.304,13.55,Geneva,2908.64225,2.334
904015,Split,3.7,8069.3,35,4454.8,13,4,4,0,10.01,14.69230769,Cairo,3196.937438,2.695
513337,Ducted,1.3,3426.16,30,1597.7,3,4,2,0,6.24,22,Prague,3042.862726,1.375
699603,Window,1.2,4248.16,38,1648.8,4,4,5,0,7.6,27.5,Sao Paolo,2825.164704,1.974
679616,Ducted,3.6,7698.96,38,5230.8,26,4,3,0,10.108,11.46153846,Bucharest,3174.504575,2.701
532996,Split,3.3,24376.24,44,4887.3,39,3,2,0,8.36,14.12820513,Berlin,2867.310996,2.426
968662,Window,3.5,3076.65,33,5225.5,10,3,5,1,14.103,16.3,Berlin,2829.630528,2.332
622092,Ducted,2.8,16911.36,39,3634.4,18,4,4,0,15.093,21.16666667,Berlin,2832.078532,2.53
304265,Split,4.4,2826.06,41,1525.7,60,5,2,0,7.708,20.41666667,Delhi,2698.698067,1.18
489191,Split,2.8,4394.2,37,3545.1,21,4,5,0,9.842,17.76190476,Delhi,2806.925787,1.942
292853,Split,1.1,1135.53,27,1507,6,4,4,0,3.105,20.5,Geneva,2532.72537,1.375
927554,Split,1.7,4689.36,31,2427.6,21,3,5,1,7.336,11.47619048,Moscow,2588.632348,1.508
913980,Ducted,3.7,6411.6,32,4946.9,29,4,5,0,7.616,11.10344828,Sao Paolo,3144.41586,2.393
597975,Ducted,12.8,1782,35,4502.4,27,4,5,0,7.35,19.2962963,Delhi,2674.465784,2.112
397768,Portable,2.6,1529.64,35,3317.6,26,4,3,0,10.045,11.34615385,Cape Town,2853.576045,2.126
244009,Window,1.4,6822.9,34,1906.8,5,4,0,1,9.078,18.8,Geneva,3139.651466,1.75
572560,Window,2.9,6368.73,30,4089,36,5,5,0,7.56,18.83333333,Sao Paolo,3094.389935,2.224
510116,Portable,2,7182,31,2454,9,5,6,0,13.485,15.44444444,Bucharest,2985.162799,2.469
943854,Split,2.5,5396.25,36,3142.5,9,5,1,0,10.296,15,Tokyo,3082.25653,1.567
776192,Portable,1.2,1318.24,40,1558.8,6,4,5,0,18.36,19.66666667,Geneva,2916.896391,1.784
432708,Window,1.2,4222.4,33,1524,9,4,5,0,10.034,14.66666667,Cape Town,2962.78748,1.883
903822,Window,2.7,3261.12,33,4332.6,34,5,4,0,17.568,10.97058824,Berlin,2986.390246,1.942
900060,Window,3.9,5345.94,42,5343,32,4,6,0,16.632,17.3125,Tokyo,3167.75181,2.397
204625,Portable,2,4040.4,37,2694,5,5,4,1,17.649,19.4,Berlin,2925.984027,2.265
850865,Split,1.3,2395.6,29,1816.1,5,4,2,0,12.984,20.8,Seoul,2900.077661,1.312
929953,Ducted,3.8,2608.2,37,3318.8,9,5,1,0,9.458,21.11111111,Berlin,2947.390063,1.79
355307,Ducted,2.4,3111.16,41,2906.4,26,4,1,0,16.81,14.57692308,Berlin,2982.657823,2.342
120009,Portable,2.8,5994.24,41,3757.6,26,4,4,0,14.965,13.57692308,Delhi,2932.514301,2.539
407126,Split,2.7,1997.71,35,3248.1,16,4,0,0,7.7,13.1875,Berlin,2605.160356,1.409
661989,Split,1.5,5214.1,36,1842,5,5,6,0,15.324,26.2,Sao Paolo,3147.154239,2.002
752033,Ducted,2.8,7030.8,39,3510,17,3,3,1,13.377,19.29411765,Seoul,2952.241569,2.884
814613,Portable,3.7,1511.11,33,4621.3,41,4,3,0,10.824,17.80487805,Sao Paolo,2598.2289,2.021
479525,Window,2,2535.6,40,2782,25,5,2,0,12.04,11.6,Sao Paolo,2920.882008,1.782
686012,Portable,2,4612.8,40,2986,8,4,4,0,8.88,23,Bucharest,2754.400053,1.954
351413,Split,3.9,6911.08,35,4995.9,14,5,1,0,5.215,18.5,Berlin,3247.729629,2.134
701574,Window,1.7,6003.27,34,2172.6,19,4,4,0,7.48,12.78947368,Moscow,2934.949205,1.713
623478,Split,1.8,4612.62,37,3369.675,20,5,1,0,13.382,11.85,Tokyo,2924.390673,1.44
594484,Window,1.7,4633.2,39,2439.5,14,5,1,0,18,12.78571429,Moscow,2816.462424,1.817
357860,Split,3.7,4682.66,41,4787.8,43,4,5,0,10.537,17.95348837,Prague,3022.032348,2.473
484251,Window,1.1,2496.39,42,1505.9,13,4,1,0,9.114,14.23076923,Berlin,2623.431203,1.34
259463,Window,2.4,5603.56,38,3172.8,22,4,5,0,13.942,16.72727273,Moscow,2813.504714,2.315
714967,Portable,1.6,2026.52,40,2300.8,4,2,5,1,5.56,28,Geneva,2822.085982,2.223
496001,Ducted,2.5,6170,34,3220,6,5,6,0,11.458,24.66666667,Cairo,2984.944399,2.165
695359,Split,6.4,5318.6,33,1966.4,3,3,4,0,15.807,21,Tokyo,2915.387704,1.9
559474,Window,1.8,4992.58,45,2673,8,4,2,0,3.375,21.625,Mumbai,2960.954883,2.204
881453,Ducted,3.9,2716.06,34,4711.2,28,4,2,0,4.726,20.21428571,Sao Paolo,2645.018733,2.179
349661,Ducted,1.7,5562.18,37,2425.9,14,5,1,1,19.226,14.64285714,Tokyo,3093.468343,2.383
121426,Window,2.9,3494.61,37,4199.2,29,5,5,0,0.185,20.27586207,Moscow,2757.751047,2.073
603168,Ducted,3.7,6913.02,36,5328,42,4,3,0,8.168,18.85714286,Seoul,3009.819174,2.432
627195,Split,11.2,3916.8,41,3606.4,18,4,2,0,19.431,15.27777778,Geneva,2734.250705,1.938
104596,Window,1.7,1935.18,37,2427.6,16,5,5,1,10.865,15.3125,Berlin,2620.951984,2.104
230555,Window,1.9,1975.4,41,3366.936,4,2,4,0,19.147,21.25,Sao Paolo,2928.512,2.191
275198,Portable,3.4,2170.8,42,4460.8,200,5,1,0,15,17.05,Moscow,2608.60912,2.05
683418,Portable,1,3594.8,37,1266,8,4,1,0,13.529,19.625,Berlin,2980.401446,1.794
247648,Portable,1.8,1863.22,33,2331,16,4,2,0,14.301,15.0625,Sao Paolo,2754.058104,1.743
750228,Window,2.9,17389.2,28,3909.2,11,4,1,1,18.844,18.54545455,Moscow,3029.441911,1.708
286201,Window,2.8,6136.32,40,3567.2,32,4,6,0,9.04,17.25,Delhi,3098.334621,2.498
470019,Portable,1.9,2884.56,27,2375,14,3,5,0,10.719,14.92857143,Berlin,2686.218419,2.01
339260,Ducted,1.8,6099.42,35,2633.4,65,4,2,0,13.965,12.69230769,Berlin,2919.567893,2.159
905164,Ducted,2.9,2282.01,35,4016.5,20,4,3,1,16.485,18.75,Mumbai,2801.82025,2.375
578490,Split,1.8,5494.08,35,2478.6,22,4,6,1,10.29,14.59090909,Berlin,3062.107116,2.176
402872,Split,2.4,2444.04,35,3177.6,12,5,1,0,12.985,15.91666667,Sao Paolo,2836.141001,1.752
872034,Window,3.2,4848.36,39,3974.4,27,3,5,0,0.936,14.44444444,Sao Paolo,2950.583436,2.342
946812,Ducted,2.7,3310.89,35,3501.9,21,4,4,0,15.455,15.66666667,Sao Paolo,2849.261634,1.876
116837,Split,2.7,4653.28,36,3672,22,5,3,0,14.964,19.63636364,Tokyo,2897.506761,1.854
404625,Portable,1.3,3161.74,38,1852.5,7,4,5,0,10.13,18.42857143,Sao Paolo,2909.617009,1.769
226297,Split,1.6,6504.12,34,2153.6,15,3,0,0,5.032,20.26666667,Berlin,2979.774326,1.687
559182,Split,2.7,4911.44,24,3236.357,5,4,3,0,15.984,14.8,Bucharest,2904.815595,1.769
987584,Ducted,1.7,5133.96,38,2278,15,4,2,0,17.83,15.53333333,Berlin,3100.119406,2.094
475137,Window,3.9,4304.83,35,5428.8,27,3,2,0,14.035,17.2962963,New York,3058.185708,2.304
303867,Window,3.7,7152.77,26,4647.2,37,4,3,0,18.85,18.7027027,Berlin,2911.828221,2.663
537915,Window,2.8,2962.08,37,4217.6,8,5,3,0,18.611,19.625,Geneva,2953.85053,2.19
600353,Portable,1.6,1691.28,37,2377.6,20,4,1,0,14.726,21.25,New York,2625.128072,1.382
875909,Split,1.5,1503.05,30,1924.5,9,4,3,0,10.77,21.33333333,Moscow,2694.641387,1.57
734318,Window,3.2,5140.08,34,4630.4,13,4,5,0,15.716,15.61538462,New York,3002.428195,2.11
275783,Split,1.7,2687.49,39,2521.1,7,4,6,1,4.68,15.57142857,Berlin,2664.270741,1.971
966438,Split,2.8,5089.05,33,3761.3,11,4,0,1,15.885,20,Geneva,2844.850053,2.524
246596,Portable,1.3,6439.87,41,1812.2,7,4,5,0,3.977,24.85714286,Moscow,3031.749603,2.499
976808,Window,1.5,4735.7,42,2047.5,8,4,1,1,14.418,17.25,Bucharest,3088.779255,2.087
167099,Split,2.2,3775.9,36,3044.8,15,4,1,0,2.952,17.4,Cairo,2993.496648,1.908
345544,Window,3.1,4632.16,27,3326.96,13,2,6,1,0.756,17.07692308,Mumbai,3104.408298,2.686
190939,Portable,1.7,6415.11,35,2118.2,14,4,5,0,7.175,19.5,Sao Paolo,2839.581553,2.422
331844,Window,2.7,5898.55,37,4798.2,23,3,0,0,16.354,18.60869565,Berlin,3031.89352,2.472
978894,Portable,2.1,1452,29,3264.65,7,4,6,0,16.356,19.14285714,Moscow,2791.897981,1.821
336543,Window,2.2,3895.46,37,2978.8,20,4,6,0,17,12.85,Berlin,2985.081761,2.205
217850,Window,3.9,28611.76,30,5678.4,11,5,1,0,12.38,14.72727273,Mumbai,3084.835988,2.148
980266,Portable,1.4,5385.36,42,1919.4,15,4,3,0,4.62,13.8,Sao Paolo,3049.71496,1.909
682844,Ducted,1.2,1873.76,36,1670.4,5,4,5,0,8.716,18.2,Berlin,2923.2911,1.774
977958,Ducted,2.88,1399.2,37,1486,5,4,6,0,17.082,24.4,Sao Paolo,2574.984462,1.385
122490,Window,1.2,3529.12,43,1719.6,5,3,2,0,10.965,27.6,Cape Town,2753.702721,1.896
829845,Portable,3.4,7048.4,37,4110.6,12,5,6,0,11.026,14.08333333,Moscow,3143.049495,2.361
963649,Ducted,1.2,5269.6,27,1610.4,9,2,3,0,13.095,13,Sao Paolo,3125.937613,2.218
897012,Ducted,2,2302.8,37,2596,20,4,0,0,15.563,14.85,Cairo,2756.15651,1.834
801454,Portable,1.9,5982.13,38,2390.2,16,2,4,0,19.95,13.375,Sao Paolo,3089.93075,2.422
845565,Ducted,1.7,24607.44,38,2414,21,5,3,0,9.12,12.80952381,Moscow,3134.077703,2.079
301962,Window,1.7,2492.1,31,2254.2,18,5,3,0,10.552,19.72222222,Bucharest,2970.16236,1.286
996443,Window,1.2,4449.76,36,1624.8,9,4,0,1,12.06,15,Berlin,2840.858041,1.946
774244,Ducted,3.5,2752.65,36,5082,20,4,2,0,15.108,20.8,Cape Town,2740.249377,2.511
911122,Ducted,2.8,28810.24,36,3396.4,27,4,3,0,13.524,14.33333333,Tokyo,2920.100547,2.124
379364,Portable,3.4,6898.32,38,4222.8,33,3,2,0,0.38,18.15151515,Sao Paolo,3216.140472,2.544
802087,Window,2,6655.2,46,2844,25,5,0,0,9.436,20.84,Berlin,3143.851711,2.158
929276,Split,1.3,3203.55,41,1571.7,14,4,6,0,0.697,20.92857143,Bucharest,2925.895,1.9
383681,Ducted,1,1345.3,44,1456,11,5,2,1,5.368,20,Delhi,2568.943425,1.655
795735,Ducted,1,2997.5,28,1477,8,4,0,0,11.648,16.5,Geneva,2917.303,1.701
382838,Window,1.8,4083.98,37,2613.6,20,4,3,1,1.406,11.85,New York,2801.343327,2.008
708562,Window,3,2749.5,35,4401,22,4,6,0,6.58,18.59090909,Berlin,2765.057695,2.24
317913,Portable,1.6,4043.76,32,2131.2,12,5,0,0,16.48,21.66666667,Sao Paolo,2955.166199,1.9
935623,Window,1.5,4405.65,37,2233.5,4,5,4,1,19.265,27.25,Mumbai,2922.254,2.175
755002,Ducted,2,2964,38,2926,8,5,0,0,15.184,22.75,Seoul,2909.964792,1.836
520844,Ducted,2.6,5343.36,38,2721.6,10,5,5,0,14.626,20.8,Moscow,2931.623173,2.084
572255,Split,2.6,6599.88,38,3174.6,12,5,2,0,5.814,18.16666667,Berlin,3194.26588,2.475
136006,Window,8,1452,34,2830,19,3,4,0,8.432,11.78947368,Geneva,2664.897981,1.886
265958,Window,1.7,6688.89,37,2516,20,3,1,1,0.592,11.85,Mumbai,2941.423328,2.18
890043,Ducted,1.2,4879.84,36,1478.4,2,5,2,0,17.136,36,Cape Town,2938.198008,1.857
589437,Split,3.2,3268.32,37,4339.2,34,5,2,0,13.505,15.08823529,Delhi,2974.806446,2.083
988273,Split,2.7,7162.3,34,4868.8,38,5,4,1,13.056,12.89473684,Bucharest,2872.26352,2.687
566258,Window,2.8,5225.26,38,3253.8,19,4,5,0,15.618,19,Tokyo,2923.714634,2.048
558394,Window,3.7,4755.27,33,4658.3,32,5,2,1,16.797,13.03125,Bucharest,2996.790438,2.206
672559,Window,2.7,14269.72,30,3296.7,19,5,0,0,11.39,17.57894737,Sao Paolo,3080.862608,1.27
200353,Window,3.3,1473.64,36,4375.8,8,5,1,0,11.412,20.5,Bucharest,2811.489548,1.469
333152,Portable,1.8,5045.68,29,2169,8,4,3,1,9.678,19.625,Cape Town,2942.652808,2.126
816024,Window,1.1,5397.93,30,1601.6,3,4,5,0,8.07,23,Moscow,2787.340049,1.469
677229,Portable,2.1,2129.6,43,2877,8,4,1,1,7.339,16.375,Tokyo,2933.909645,2.196
300948,Window,1.3,4014.89,35,3291.238,15,3,2,0,9.24,18.33333333,New York,2963.599445,1.932
688785,Ducted,3.4,3957.02,29,5093.2,30,5,0,1,7.163,14.96666667,Moscow,2912.448663,2.079
930420,Ducted,2.1,7020.42,36,3055.5,6,2,1,0,18.256,24,Tokyo,2865.764792,2.698
367157,Portable,2.4,1899.68,41,3236.357,16,4,6,0,16.933,18.5625,Bucharest,2859.54464,2.115
614079,Window,1.1,5314.68,38,1461.9,10,4,0,0,13.79,15.8,Tokyo,2795.191946,1.589
290534,Window,3.9,8324.71,32,5335.2,42,4,5,0,13.488,12.76190476,Sao Paolo,3003.138813,2.702
477314,Split,3,2003.3,39,3951,19,4,1,0,1.56,19.05263158,Sao Paolo,2684.534633,2.034
250960,Split,1.9,1610.07,38,2703.7,8,4,2,0,18.544,21.75,Seoul,2795.36769,1.633
790668,Ducted,1.1,3554.22,30,1361.8,10,5,3,1,10.97,20,Moscow,2731.118629,1.833
490197,Ducted,3.9,3001.01,40,4797,38,2,3,0,17.16,11.05263158,New York,2914.163001,2.364
824096,Portable,2.7,7494.27,38,3712.5,18,3,2,1,4.028,12.11111111,Tokyo,3001.320427,2.597
235527,Split,1.5,3703,41,2112,16,4,0,0,13.981,14.5625,Berlin,2921.450787,2.06
694091,Split,2.7,13805.48,30,4902.3,9,5,1,0,16.74,20.33333333,Berlin,3020.297474,1.666
430788,Window,1,3513.4,44,1497,5,4,3,0,14.432,25.8,Cape Town,2971.814408,1.721
664696,Window,2.6,29438.64,33,3190.2,6,4,0,1,5.049,23.5,Sao Paolo,3067.239646,2.029
342022,Window,3.8,6520.5,43,4567.6,36,5,6,0,17.888,11.19444444,Bucharest,3111.544017,2.837
100250,Window,3.2,4138.2,35,4512,13,3,2,0,15.23,17.69230769,New York,2743.268131,2.178
805530,Ducted,3.9,5348.72,27,5089.5,10,4,5,0,10.356,14.7,Moscow,2994.890398,2.115
638698,Ducted,3.5,2922.75,34,4270,38,4,6,0,7.718,11.89473684,Moscow,2729.50502,2.146
588963,Window,1,5216.2,31,1465,8,4,2,0,8.429,18.875,New York,3142.259717,1.879
561441,Portable,3.9,6403.73,43,5612.1,22,4,0,0,2.838,13.95454545,Moscow,3212.04425,2.362
804716,Window,1,4226.2,34,1405,4,2,5,0,2.142,25.5,Tokyo,2977.9908,1.642
536728,Portable,1.2,1561.28,41,1794,16,5,1,0,12.174,17.5625,Berlin,2806.865042,1.685
372925,Portable,1.4,3523.74,31,3366.936,15,4,6,0,18.6,20.06666667,Sao Paolo,2928.512,1.7
792155,Portable,2.2,6528.22,38,3264.65,9,4,0,0,19.54,15.22222222,Moscow,3094.906577,2.036
907555,Split,2.4,7378,32,3410.4,13,5,1,1,11.448,14.46153846,Geneva,3186.070075,2.1
180061,Portable,6.4,3056.6,32,2276.8,15,1,2,0,19.424,20.13333333,Bucharest,2746.449556,2.239
926081,Ducted,2,6285.6,35,3285.07,5,5,3,0,13.34,20,Berlin,3076.449725,2.143
200459,Ducted,15.6,3759.95,41,5795.4,28,4,5,1,15.561,12.46428571,Sao Paolo,2798.61346,2.606
813353,Window,2,6196.8,37,3264.65,5,4,5,0,1.702,19.4,Moscow,3076.223456,1.897
942395,Window,1.5,3004.95,41,1972.5,65,5,3,1,15.416,13.15384615,Berlin,2662.396537,1.61
288702,Split,3.8,4870.02,33,4784.2,33,4,2,0,8.481,11,Sao Paolo,3060.694688,2.391
952652,Portable,3.2,7567.56,38,4220.8,12,4,2,0,15.01,19.16666667,Tokyo,3107.617391,2.419
303812,Window,1.5,2852,37,2028,14,3,5,1,10.36,14.64285714,Mumbai,2922.254,2.17
761153,Ducted,1.5,5929.4,44,2226,8,4,1,0,14.4,15.5,Berlin,3095.385678,2.559
532906,Portable,2.1,1297.12,29,2656.5,18,4,1,1,13.63,19.61111111,Berlin,2847.289936,1.676
151655,Portable,2.7,2942.59,37,3582.9,17,4,6,0,10.383,12.17647059,Seoul,2748.689387,2.229
627680,Split,1.2,2954.56,33,1669.2,3,4,1,0,10.362,26,Moscow,2788.402788,1.382
105734,Portable,2,7166.4,27,2824,19,4,5,0,15.984,17.42105263,Sao Paolo,3012.45074,2.149
588388,Split,2.65,3586.24,37,1792.8,7,4,0,0,16.502,23.28571429,New York,3052.920552,1.377
526535,Window,1.1,5689.86,36,3236.357,10,5,5,0,13.74,21.6,Bucharest,3071.737214,1.939
456947,Split,3.4,2906.46,30,4522,27,5,5,0,1.77,12.11111111,Berlin,2975.53077,2.149
846580,Split,3.7,4179.87,41,4699,14,5,4,0,11.247,20.92857143,Berlin,2850.508139,2.348
536114,Portable,3.4,5775.4,37,4889.2,29,4,4,0,18.561,19.27586207,New York,2857.913476,2.625
338712,Split,14.4,6158.08,45,4442.4,31,4,2,0,13.72,12.4516129,New York,2907.37497,2.779
117335,Ducted,1.3,10350.8,31,1600.3,8,5,4,1,8.587,15.875,Moscow,3015.120985,1.626
197843,Window,2.4,3899.8,40,2884.8,8,4,1,0,15,24,Sao Paolo,2928.512,1.942
146900,Ducted,2.5,2596.25,30,3647.5,14,4,3,0,15.3,21.14285714,Tokyo,2711.650649,1.629
258834,Window,2.7,2197.1,39,3785.4,26,3,5,0,19.344,13.5,Sao Paolo,2745.324289,2.26
618069,Window,2,5304,37,2694,24,4,0,0,13.454,18.54166667,Delhi,2852.658388,1.55
176563,Ducted,5.6,2946.9,33,1727.6,6,4,6,0,17.403,24.5,New York,2913.97,2.049
417760,Portable,3.7,4896.38,39,4872.9,19,2,6,0,9.333,16.05263158,Bucharest,2979.045072,2.72
890075,Window,2.8,6961.92,38,3875.2,23,2,2,0,13.118,11.65217391,Berlin,3257.073787,2.472
241714,Window,2.6,6850.62,39,3806.4,30,4,3,0,3.159,18.3,Cape Town,2905.93516,2.115
160761,Ducted,1.3,3314.29,44,1773.2,12,5,5,0,17,19.66666667,Tokyo,2736.457317,1.931
395722,Split,2.8,5297.92,39,3455.2,17,5,4,0,16.197,12.29411765,Mumbai,3016.354495,2.035
101134,Portable,1.7,3264.3,31,2446.3,14,4,6,0,19.282,19.21428571,Cape Town,2921.021,2.222
324630,Ducted,1,5078.7,31,1457,10,5,3,0,14.074,17.1,Cape Town,3037.326205,1.849
165265,Portable,1.7,5896.8,31,2461.6,17,4,5,1,19.437,17.82352941,Tokyo,3128.808806,2.635
537766,Window,2.3,1678.95,29,3155.6,25,3,0,0,16.095,11.16,Cairo,2925.908,1.638
541869,Split,3.6,1906.72,42,4874.4,38,4,0,1,19.29,12.10526316,Berlin,2949.023105,2.154
236263,Window,2.7,1997.66,35,4309.8,8,5,5,0,17.31,17.375,Bucharest,2684.157007,1.929
615022,Window,3.1,6323.37,30,3744.8,11,4,2,0,1.05,20.72727273,Sao Paolo,3123.24188,2.05
339528,Split,2.3,3580.53,34,2799.1,19,4,2,1,1.938,20.78947368,Sao Paolo,3030.599577,1.985
573892,Portable,1.3,24308.56,36,1709.5,15,3,1,0,18.072,20.4,Sao Paolo,2974.499601,2.48
622234,Portable,2.5,1933.75,30,3250,16,5,0,1,0.54,12.875,Sao Paolo,2976.855269,1.76
921568,Split,15.2,7500.3,38,4864,24,4,0,0,12.882,14.58333333,Berlin,2959.592052,2.522
764563,Split,2.8,3859.2,37,3668,18,4,3,1,2.553,19.05555556,Tokyo,2727.091126,2.035
944578,Ducted,2.3,6177.06,37,3070.5,24,4,6,0,4.958,12.54166667,Bucharest,2990.281506,2.278
246817,Window,1.5,4889.8,43,2043,12,4,2,0,11.782,16.58333333,Berlin,2843.708193,2.153
959394,Window,1.2,5704.16,42,1526.4,12,4,5,0,3.024,16.5,Berlin,3091.436677,1.987
848949,Window,2.8,4748.1,34,2426.3,70,5,3,0,8.712,20.42857143,Tokyo,2898.420109,1.86
355369,Window,1.8,6279.96,28,2491.2,14,4,3,0,16.94,20,Berlin,3167.181835,1.998
535919,Portable,2.3,3778.56,40,3137.2,28,5,5,0,16.64,18.42857143,Seoul,2900.64383,2.035
636505,Window,1.6,5373.12,33,1972.8,7,4,1,1,18.447,14.71428571,Mumbai,3012.10586,1.954
